[gpu0] Starting: tau0.12_slots0_warmup0
Run:        pm3_tau0.12_slots0_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   0 | loss=6.8080 dist=1.3455 div=1.771 H=0.210 gd=0.619 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   1 | loss=3.0585 dist=1.2030 div=1.914 H=0.186 gd=0.581 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   2 | loss=2.3628 dist=1.1290 div=1.973 H=0.162 gd=0.490 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   3 | loss=2.0619 dist=1.0572 div=2.015 H=0.153 gd=0.515 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   4 | loss=1.8537 dist=1.0152 div=2.056 H=0.141 gd=0.472 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   5 | loss=1.7569 dist=0.9792 div=2.078 H=0.140 gd=0.494 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   6 | loss=1.6684 dist=0.9779 div=2.099 H=0.132 gd=0.521 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   7 | loss=1.6008 dist=0.9764 div=2.102 H=0.125 gd=0.579 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   8 | loss=1.5378 dist=0.9547 div=2.150 H=0.115 gd=0.585 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch   9 | loss=1.4308 dist=0.9282 div=2.172 H=0.106 gd=0.558 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  10 | loss=1.3397 dist=0.9152 div=2.194 H=0.101 gd=0.558 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  11 | loss=1.3042 dist=0.9233 div=2.170 H=0.107 gd=0.584 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  12 | loss=1.2717 dist=0.8981 div=2.211 H=0.103 gd=0.548 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  13 | loss=1.2317 dist=0.9012 div=2.203 H=0.101 gd=0.581 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  14 | loss=1.2261 dist=0.8966 div=2.212 H=0.101 gd=0.559 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  15 | loss=1.2081 dist=0.9012 div=2.215 H=0.101 gd=0.565 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  16 | loss=1.2092 dist=0.8872 div=2.208 H=0.098 gd=0.561 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  17 | loss=1.1885 dist=0.8843 div=2.225 H=0.099 gd=0.589 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  18 | loss=1.1635 dist=0.8780 div=2.224 H=0.099 gd=0.565 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  19 | loss=1.1385 dist=0.8636 div=2.232 H=0.095 gd=0.565 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  20 | loss=1.1337 dist=0.8660 div=2.220 H=0.097 gd=0.564 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  21 | loss=1.1247 dist=0.8679 div=2.211 H=0.099 gd=0.571 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  22 | loss=1.1077 dist=0.8576 div=2.219 H=0.095 gd=0.555 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  23 | loss=1.0931 dist=0.8644 div=2.219 H=0.094 gd=0.574 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  24 | loss=1.0831 dist=0.8544 div=2.236 H=0.093 gd=0.566 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  25 | loss=1.0808 dist=0.8626 div=2.223 H=0.094 gd=0.567 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  26 | loss=1.0819 dist=0.8609 div=2.242 H=0.093 gd=0.574 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  27 | loss=1.0804 dist=0.8588 div=2.261 H=0.092 gd=0.591 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  28 | loss=1.0767 dist=0.8738 div=2.235 H=0.092 gd=0.599 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  29 | loss=1.0782 dist=0.8473 div=2.250 H=0.093 gd=0.580 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  30 | loss=1.0642 dist=0.8494 div=2.255 H=0.091 gd=0.587 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  31 | loss=1.0503 dist=0.8415 div=2.263 H=0.089 gd=0.572 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  32 | loss=1.0609 dist=0.8447 div=2.253 H=0.091 gd=0.584 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  33 | loss=1.0434 dist=0.8449 div=2.250 H=0.092 gd=0.601 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  34 | loss=1.0404 dist=0.8392 div=2.263 H=0.091 gd=0.633 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  35 | loss=1.0484 dist=0.8415 div=2.264 H=0.090 gd=0.589 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  36 | loss=1.0334 dist=0.8283 div=2.252 H=0.090 gd=0.588 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  37 | loss=1.0187 dist=0.8199 div=2.237 H=0.090 gd=0.592 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  38 | loss=1.0189 dist=0.8314 div=2.250 H=0.092 gd=0.586 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  39 | loss=1.0128 dist=0.8267 div=2.243 H=0.090 gd=0.592 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  40 | loss=1.0073 dist=0.8271 div=2.273 H=0.091 gd=0.606 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  41 | loss=1.0032 dist=0.8288 div=2.271 H=0.092 gd=0.664 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  42 | loss=0.9922 dist=0.8117 div=2.260 H=0.087 gd=0.599 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  43 | loss=0.9913 dist=0.8065 div=2.256 H=0.089 gd=0.590 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  44 | loss=1.0009 dist=0.8107 div=2.276 H=0.085 gd=0.600 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  45 | loss=0.9778 dist=0.8036 div=2.270 H=0.086 gd=0.605 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  46 | loss=0.9789 dist=0.8083 div=2.260 H=0.087 gd=0.581 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  47 | loss=0.9636 dist=0.7582 div=2.254 H=0.082 gd=0.635 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  48 | loss=0.9364 dist=0.7628 div=2.296 H=0.081 gd=0.621 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  49 | loss=0.9035 dist=0.7808 div=2.269 H=0.083 gd=0.609 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  50 | loss=0.9085 dist=0.7708 div=2.289 H=0.080 gd=0.654 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  51 | loss=0.9012 dist=0.7691 div=2.309 H=0.081 gd=0.621 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  52 | loss=0.8936 dist=0.7354 div=2.307 H=0.077 gd=0.647 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  53 | loss=0.8871 dist=0.7442 div=2.284 H=0.079 gd=0.648 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  54 | loss=0.9050 dist=0.7661 div=2.266 H=0.082 gd=0.699 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  55 | loss=0.9020 dist=0.7422 div=2.316 H=0.077 gd=0.611 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  56 | loss=0.8912 dist=0.7439 div=2.299 H=0.076 gd=0.669 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  57 | loss=0.8839 dist=0.7370 div=2.305 H=0.075 gd=0.636 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  58 | loss=0.8828 dist=0.7440 div=2.308 H=0.076 gd=0.675 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  59 | loss=0.8743 dist=0.7384 div=2.298 H=0.076 gd=0.648 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  60 | loss=0.8832 dist=0.7411 div=2.276 H=0.078 gd=0.630 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  61 | loss=0.8677 dist=0.7424 div=2.294 H=0.076 gd=0.637 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  62 | loss=0.8790 dist=0.7478 div=2.291 H=0.077 gd=0.660 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  63 | loss=0.8682 dist=0.7281 div=2.287 H=0.075 gd=0.685 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  64 | loss=0.8615 dist=0.7210 div=2.300 H=0.074 gd=0.589 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  65 | loss=0.8777 dist=0.7549 div=2.303 H=0.079 gd=0.644 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  66 | loss=0.8904 dist=0.7356 div=2.294 H=0.073 gd=0.673 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  67 | loss=0.8826 dist=0.7408 div=2.274 H=0.077 gd=0.651 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  68 | loss=0.9116 dist=0.7645 div=2.287 H=0.080 gd=0.658 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  69 | loss=0.8816 dist=0.7409 div=2.297 H=0.078 gd=0.656 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  70 | loss=0.8678 dist=0.7277 div=2.293 H=0.074 gd=0.643 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  71 | loss=0.8716 dist=0.7593 div=2.275 H=0.081 gd=0.634 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  72 | loss=0.8921 dist=0.7393 div=2.289 H=0.077 gd=0.634 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  73 | loss=0.8891 dist=0.7456 div=2.294 H=0.077 gd=0.658 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  74 | loss=0.8716 dist=0.7415 div=2.296 H=0.076 gd=0.672 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  75 | loss=0.8676 dist=0.7474 div=2.318 H=0.075 gd=0.647 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  76 | loss=0.8555 dist=0.7811 div=2.347 H=0.077 gd=0.692 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  77 | loss=0.8773 dist=0.7499 div=2.305 H=0.078 gd=0.651 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  78 | loss=0.8613 dist=0.7214 div=2.332 H=0.073 gd=0.660 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  79 | loss=0.8387 dist=0.7467 div=2.308 H=0.075 gd=0.657 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  80 | loss=0.8349 dist=0.7238 div=2.312 H=0.075 gd=0.649 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  81 | loss=0.8503 dist=0.7549 div=2.304 H=0.074 gd=0.651 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  82 | loss=0.8321 dist=0.7282 div=2.290 H=0.074 gd=0.683 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  83 | loss=0.8445 dist=0.7385 div=2.302 H=0.075 gd=0.658 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  84 | loss=0.8435 dist=0.7334 div=2.293 H=0.078 gd=0.627 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  85 | loss=0.8423 dist=0.7371 div=2.290 H=0.075 gd=0.614 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  86 | loss=0.8678 dist=0.7380 div=2.295 H=0.075 gd=0.683 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  87 | loss=0.8600 dist=0.7348 div=2.279 H=0.077 gd=0.636 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  88 | loss=0.8435 dist=0.7292 div=2.299 H=0.074 gd=0.719 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  89 | loss=0.8474 dist=0.7276 div=2.314 H=0.074 gd=0.666 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  90 | loss=0.8263 dist=0.7617 div=2.306 H=0.075 gd=0.661 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  91 | loss=0.8609 dist=0.7193 div=2.305 H=0.074 gd=0.650 lr=8.49e-04
