[gpu1] Starting: tau0.12_slots1_warmup0
Run:        pm3_tau0.12_slots1_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   0 | loss=6.3498 dist=1.4097 div=1.599 H=0.219 gd=0.793 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   1 | loss=2.9980 dist=1.3004 div=1.752 H=0.201 gd=0.730 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   2 | loss=2.3539 dist=1.2225 div=1.824 H=0.183 gd=0.680 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   3 | loss=2.0757 dist=1.1814 div=1.856 H=0.174 gd=0.616 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   4 | loss=1.9536 dist=1.1455 div=1.878 H=0.165 gd=0.487 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   5 | loss=1.8933 dist=1.1340 div=1.908 H=0.155 gd=0.479 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   6 | loss=1.8559 dist=1.1329 div=1.916 H=0.156 gd=0.464 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   7 | loss=1.8319 dist=1.1245 div=1.934 H=0.151 gd=0.498 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   8 | loss=1.7988 dist=1.1186 div=1.949 H=0.142 gd=0.452 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch   9 | loss=1.7592 dist=1.1138 div=1.951 H=0.139 gd=0.466 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  10 | loss=1.6955 dist=1.1108 div=1.974 H=0.132 gd=0.521 lr=8.49e-04
