[gpu2] Starting: tau0.12_slots0_warmup1
Run:        pm3_tau0.12_slots0_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   0 | loss=9.9276 dist=1.5336 div=1.518 H=0.207 gd=0.669 lr=3.39e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   1 | loss=4.6471 dist=1.3069 div=1.779 H=0.194 gd=0.614 lr=5.09e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   2 | loss=3.0003 dist=1.2022 div=1.894 H=0.178 gd=0.492 lr=6.79e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   3 | loss=2.3799 dist=1.1285 div=1.951 H=0.169 gd=0.486 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   4 | loss=2.0777 dist=1.0744 div=2.014 H=0.159 gd=0.446 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   5 | loss=1.9009 dist=1.0535 div=2.053 H=0.154 gd=0.420 lr=8.48e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   6 | loss=1.8102 dist=1.0252 div=2.064 H=0.145 gd=0.432 lr=8.48e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   7 | loss=1.7429 dist=1.0192 div=2.072 H=0.141 gd=0.455 lr=8.48e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   8 | loss=1.6683 dist=1.0163 div=2.112 H=0.128 gd=0.497 lr=8.48e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch   9 | loss=1.5595 dist=0.9938 div=2.112 H=0.117 gd=0.504 lr=8.47e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  10 | loss=1.4650 dist=0.9804 div=2.137 H=0.112 gd=0.501 lr=8.47e-04
