[gpu3] Starting: tau0.12_slots1_warmup1
Run:        pm3_tau0.12_slots1_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   0 | loss=8.9583 dist=1.5297 div=1.356 H=0.248 gd=0.809 lr=3.39e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   1 | loss=4.2644 dist=1.3639 div=1.607 H=0.216 gd=0.675 lr=5.09e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   2 | loss=2.8120 dist=1.2802 div=1.734 H=0.200 gd=0.687 lr=6.79e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   3 | loss=2.3597 dist=1.2245 div=1.816 H=0.182 gd=0.623 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   4 | loss=2.0986 dist=1.1697 div=1.859 H=0.172 gd=0.502 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   5 | loss=1.9621 dist=1.1413 div=1.888 H=0.161 gd=0.465 lr=8.48e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   6 | loss=1.9039 dist=1.1416 div=1.909 H=0.158 gd=0.465 lr=8.48e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   7 | loss=1.8764 dist=1.1230 div=1.927 H=0.150 gd=0.484 lr=8.48e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   8 | loss=1.8341 dist=1.1300 div=1.924 H=0.149 gd=0.453 lr=8.48e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch   9 | loss=1.7929 dist=1.1307 div=1.924 H=0.149 gd=0.481 lr=8.47e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  10 | loss=1.7671 dist=1.1221 div=1.929 H=0.146 gd=0.484 lr=8.47e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  11 | loss=1.7367 dist=1.1284 div=1.929 H=0.135 gd=0.554 lr=8.46e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  12 | loss=1.7736 dist=1.1071 div=1.942 H=0.131 gd=0.611 lr=8.45e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  13 | loss=1.7062 dist=1.1024 div=1.972 H=0.132 gd=0.587 lr=8.44e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  14 | loss=1.6794 dist=1.0821 div=1.979 H=0.130 gd=0.591 lr=8.43e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  15 | loss=1.6693 dist=1.1150 div=1.927 H=0.131 gd=0.638 lr=8.42e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  16 | loss=1.6537 dist=1.0807 div=2.022 H=0.126 gd=0.658 lr=8.41e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  17 | loss=1.6098 dist=1.0922 div=2.002 H=0.127 gd=0.632 lr=8.39e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  18 | loss=1.5876 dist=1.0732 div=2.004 H=0.119 gd=0.578 lr=8.38e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  19 | loss=1.5934 dist=1.0571 div=1.995 H=0.117 gd=0.638 lr=8.36e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  20 | loss=1.6089 dist=1.0680 div=2.004 H=0.119 gd=0.676 lr=8.35e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  21 | loss=1.5947 dist=1.0708 div=1.993 H=0.120 gd=0.675 lr=8.33e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  22 | loss=1.5702 dist=1.0318 div=2.026 H=0.114 gd=0.663 lr=8.31e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  23 | loss=1.5190 dist=1.0391 div=2.013 H=0.115 gd=0.662 lr=8.29e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  24 | loss=1.5259 dist=1.0337 div=2.026 H=0.110 gd=0.652 lr=8.27e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  25 | loss=1.5287 dist=1.0562 div=2.006 H=0.113 gd=0.701 lr=8.24e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  26 | loss=1.5086 dist=1.0396 div=2.007 H=0.107 gd=0.743 lr=8.22e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  27 | loss=1.4861 dist=1.0130 div=2.046 H=0.108 gd=0.665 lr=8.20e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  28 | loss=1.4711 dist=1.0282 div=2.019 H=0.108 gd=0.711 lr=8.17e-04
